s11a,s12a,s21a,s22a,s11m,s12m,s21m,s22m
-0.913746374330858,-1.2551484284083085,-1.2551484284083085,-0.913746374330858,0.0311069608965454,0.009029261248359616,0.009029261248359616,0.0311069608965454
-0.9234308343324588,-1.3681054590436372,-1.3681054590436372,-0.9234308343324588,0.03083918614812154,0.00849637154745766,0.00849637154745766,0.03083918614812154
-0.9326386642260095,-1.457436995057745,-1.457436995057745,-0.9326386642260095,0.030877274582258942,0.008256182969969153,0.008256182969969153,0.030877274582258942
-0.9528209507779228,-1.5401413718078187,-1.5401413718078187,-0.9528209507779228,0.031110584645575666,0.008364590711128026,0.008364590711128026,0.031110584645575666
-0.9866267872825394,-1.636321500040708,-1.636321500040708,-0.9866267872825394,0.031154939001112755,0.00881284623970698,0.00881284623970698,0.031154939001112755
-1.0252994734016112,-1.7595413500447077,-1.7595413500447077,-1.0252994734016112,0.030700348661131367,0.00953323069956236,0.00953323069956236,0.030700348661131367
-1.0547464589425366,-1.9134838055772054,-1.9134838055772054,-1.0547464589425366,0.02976399205392447,0.010430504937970791,0.010430504937970791,0.02976399205392447
-1.0643546644474622,-2.0952009736626036,-2.0952009736626036,-1.0643546644474622,0.0287067322058768,0.011410498673497993,0.011410498673497993,0.0287067322058768
-1.0556083771113536,-2.299327424715689,-2.299327424715689,-1.0556083771113536,0.02801260061639442,0.01239316231826344,0.01239316231826344,0.02801260061639442
-1.043816229041942,-2.5204846836209156,-2.5204846836209156,-1.043816229041942,0.0279338146864122,0.013314776540673035,0.013314776540673035,0.0279338146864122
-1.0464193150642134,-2.7541226794328795,-2.7541226794328795,-1.0464193150642134,0.028279796898060528,0.014126165885539152,0.014126165885539152,0.028279796898060528
-1.0686810757781986,-2.996613086194752,-2.996613086194752,-1.0686810757781986,0.028570173699431038,0.014790354672082782,0.014790354672082782,0.028570173699431038
-1.101514886623125,-3.2450917354554356,-3.2450917354554356,-1.101514886623125,0.02838608500428583,0.015280684339512197,0.015280684339512197,0.02838608500428583
-1.1282361599400108,-3.4972562994804695,-3.4972562994804695,-1.1282361599400108,0.027630654459469738,0.015579477351516139,0.015579477351516139,0.027630654459469738
-1.133028453459783,-3.7511838768061616,-3.7511838768061616,-1.133028453459783,0.026599179035070017,0.01567709370573202,0.01567709370573202,0.026599179035070017
-1.1109889860714535,-4.005178251833451,-4.005178251833451,-1.1109889860714535,0.02584825803551677,0.0155712121088278,0.0155712121088278,0.02584825803551677
-1.0763130412792563,-4.257637682660076,-4.257637682660076,-1.0763130412792563,0.025854924251571883,0.015266219044258116,0.015266219044258116,0.025854924251571883
-1.0549042451453885,-4.506927770640237,-4.506927770640237,-1.0549042451453885,0.0266393395157668,0.014772664385662984,0.014772664385662984,0.0266393395157668
-1.0630427473613622,-4.751241402245924,-4.751241402245924,-1.0630427473613622,0.027726676278299205,0.01410682434356792,0.01410682434356792,0.027726676278299205
-1.0975379131016734,-4.988425775319687,-4.988425775319687,-1.0975379131016734,0.028487022007168964,0.013290486236553935,0.013290486236553935,0.028487022007168964
-1.1421070951991783,-5.2157548209369615,-5.2157548209369615,-1.1421070951991783,0.028497069236773354,0.012351131402692065,0.012351131402692065,0.028497069236773354
-1.175833212819115,-5.429628558034412,-5.429628558034412,-1.175833212819115,0.027730294352103356,0.011322757200137198,0.011322757200137198,0.027730294352103356
-1.1799781057230474,-5.625208669997038,-5.625208669997038,-1.1799781057230474,0.026594614041948125,0.010247659403123987,0.010247659403123987,0.026594614041948125
-1.1483301114976432,-5.796113603980025,-5.796113603980025,-1.1483301114976432,0.02580348398867185,0.009179522297380362,0.009179522297380362,0.02580348398867185
-1.0987261151308925,-5.934649086948152,-5.934649086948152,-1.0987261151308925,0.025995080360958423,0.00818774358903298,0.00818774358903298,0.025995080360958423
-1.0651174413796254,-6.033830410960688,-6.033830410960688,-1.0651174413796254,0.027245018228994715,0.007360837622731781,0.007360837622731781,0.027245018228994715
-1.0689254557496448,-6.093039833641485,-6.093039833641485,-1.0689254557496448,0.028985675339514138,0.006801177473269144,0.006801177473269144,0.028985675339514138
-1.1068115676443269,-6.125947067987441,-6.125947067987441,-1.1068115676443269,0.03042656953666406,0.006598103483289213,0.006598103483289213,0.03042656953666406
-1.1605051484678999,-6.160343945651568,-6.160343945651568,-1.1605051484678999,0.030991924943130505,0.0067825431664959935,0.0067825431664959935,0.030991924943130505
-1.2070096816637,-6.22292524404782,-6.22292524404782,-1.2070096816637,0.030544443559727238,0.007305291461026678,0.007305291461026678,0.030544443559727238
-1.2243985087060947,-6.325411753817905,-6.325411753817905,-1.2243985087060947,0.029460253913420678,0.008067319083922098,0.008067319083922098,0.029460253913420678
-1.2009074785123628,-6.466033368390851,-6.466033368390851,-1.2009074785123628,0.028561998925953427,0.008965284314690857,0.008965284314690857,0.028561998925953427
-1.1499952643334994,-6.637540852500238,-6.637540852500238,-1.1499952643334994,0.028760266356662133,0.009914476700994315,0.009914476700994315,0.028760266356662133
-1.1098748857485143,-6.832378678279187,-6.832378678279187,-1.1098748857485143,0.030403064916008048,0.010851207475946551,0.010851207475946551,0.030403064916008048
-1.111607931553703,-7.0443968148164355,-7.0443968148164355,-1.111607931553703,0.03294928484781922,0.011728087061711202,0.011728087061711202,0.03294928484781922
-1.1574812176102256,-7.268968365108181,-7.268968365108181,-1.1574812176102256,0.03537994388360231,0.012509097552994248,0.012509097552994248,0.03537994388360231
-1.2303360851607519,-7.502659008549284,-7.502659008549284,-1.2303360851607519,0.03678730777592965,0.013166142389777343,0.013166142389777343,0.03678730777592965
-1.3063422755830214,-7.742863897681391,-7.742863897681391,-1.3063422755830214,0.03670943144596106,0.013676990503011167,0.013676990503011167,0.03670943144596106
-1.3595955707135443,-7.987513783779967,-7.987513783779967,-1.3595955707135443,0.03528647757766862,0.014024222573593342,0.014024222573593342,0.03528647757766862
-1.3659523084516225,-8.234852709280377,-8.234852709280377,-1.3659523084516225,0.033338606092291265,0.01419483918068574,0.01419483918068574,0.033338606092291265
-1.3182646320520872,-8.483265372972404,-8.483265372972404,-1.3182646320520872,0.03223746048602102,0.014180285295621722,0.014180285295621722,0.03223746048602102
-1.2495214690248495,-8.731128776857988,-8.731128776857988,-1.2495214690248495,0.033199541799292284,0.013976731250189365,0.013976731250189365,0.033199541799292284
-1.215967940657382,-8.976662529085969,-8.976662529085969,-1.215967940657382,0.03622889844242787,0.013585533495616831,0.013585533495616831,0.03622889844242787
-1.2436995099192047,-9.217749983601824,-9.217749983601824,-1.2436995099192047,0.0400663416035304,0.013013886108461378,0.013013886108461378,0.0400663416035304
-1.3209815674062984,-9.451696391692233,-9.451696391692233,-1.3209815674062984,0.043151397140733135,0.01227577005282354,0.01227577005282354,0.043151397140733135
-1.4216988251612066,-9.674880576594923,-9.674880576594923,-1.4216988251612066,0.04434632899080338,0.011393426480076855,0.011393426480076855,0.04434632899080338
-1.5164778297442087,-9.882251580504715,-9.882251580504715,-1.5164778297442087,0.04322763345670137,0.010399759297001236,0.010399759297001236,0.04322763345670137
-1.5724723713420325,-10.066663805495727,-10.066663805495727,-1.5724723713420325,0.040267697836138254,0.009342343351102242,0.009342343351102242,0.040267697836138254
-1.557004109220286,-10.218296260589447,-10.218296260589447,-1.557004109220286,0.03701198655353959,0.008289922761942401,0.008289922761942401,0.03701198655353959
-1.4686958873869895,-10.325332886554904,-10.325332886554904,-1.4686958873869895,0.035853615198664666,0.007341319157948465,0.007341319157948465,0.035853615198664666
